Date,Time,Item Code,Quantity Sold (kilo),Unit Selling Price (RMB/kg),Sale or Return,Discount (Yes/No)
2021-04-07,16:23:50.558,102900005115779,0.645,7.0,sale,No
2021-04-07,16:25:32.734,102900005115779,0.244,7.0,sale,No
2021-04-07,16:26:47.170,102900011016701,0.301,6.0,sale,No
2021-04-07,16:27:35.250,102900005115823,0.435,6.0,sale,No
2021-04-07,16:27:35.453,102900005115762,0.229,7.0,sale,No
2021-04-07,16:27:51.103,102900011016701,0.569,6.0,sale,No
2021-04-07,16:29:27.108,102900005115823,0.318,6.0,sale,No
2021-04-07,16:29:27.285,102900005115762,0.344,7.0,sale,No
2021-04-07,16:29:52.405,102900005115960,2.209,2.6,sale,No
2021-04-07,16:34:01.234,102900011016701,0.234,6.0,sale,No
2021-04-07,16:34:37.653,102900005115908,0.619,6.0,sale,No
2021-04-07,16:34:37.747,102900051004294,0.361,10.0,sale,No
2021-04-07,16:34:37.899,102900011006689,0.321,5.0,sale,No
2021-04-07,16:34:38.127,102900005116714,0.411,10.0,sale,No
2021-04-07,16:35:02.486,102900005116837,0.313,8.0,sale,No
2021-04-07,16:36:47.363,102900005116530,0.15,18.0,sale,No
2021-04-07,16:37:11.623,102900005115779,0.373,7.0,sale,No
2021-04-07,16:38:45.530,102900051009220,0.568,12.0,sale,No
2021-04-07,16:38:45.700,102900005116233,0.092,12.0,sale,No
2021-04-07,16:38:45.872,102900011000328,0.301,8.0,sale,No
2021-04-07,16:39:16.801,102900011016701,0.1,6.0,sale,No
2021-04-07,16:39:17.162,102900005125808,0.076,31.8,sale,No
2021-04-07,16:39:17.700,102900051004294,0.22,10.0,sale,No
2021-04-07,16:39:17.880,102900005116233,0.058,12.0,sale,No
2021-04-07,16:40:25.562,102900011000328,0.201,8.0,sale,No
2021-04-07,16:43:18.937,102900011009970,0.462,5.0,sale,No
2021-04-07,16:43:49.093,102900011009970,0.522,5.0,sale,No
2021-04-07,16:44:28.298,102900011016701,0.268,6.0,sale,No
2021-04-07,16:44:32.765,102900005115786,0.693,12.0,sale,No
2021-04-07,16:45:47.781,102900005115823,0.318,6.0,sale,No
2021-04-07,16:45:59.342,102900005115779,0.459,7.0,sale,No
2021-04-07,16:46:31.185,102900005115779,0.33,7.0,sale,No
2021-04-07,16:47:24.568,102900005116257,0.284,6.0,sale,No
2021-04-07,16:48:46.484,102900005116899,0.291,10.0,sale,No
2021-04-07,16:55:13.089,102900005116714,0.371,10.0,sale,No
2021-04-07,16:55:13.597,106949711300068,1.0,2.9,sale,No
2021-04-07,16:55:13.761,102900005115823,0.368,6.0,sale,No
2021-04-07,16:55:14.277,102900005116530,0.078,18.0,sale,No
2021-04-07,16:58:06.021,102900005116714,0.321,10.0,sale,No
